make,model,engine_size,trim,mileage,transmission_type,reg_year,fuel_type,price
Suzuki,Vitara,1.8,1.4 Boosterjet SZ-T 5dr Auto,"27,067",Manual,2020,Petrol,"£13,999"
BMW,2 Series,1.8,218i [136] Sport 4dr [Live Cockpit Professional],"10,320",Manual,2023,Petrol,"£22,999"
Volkswagen,Tiguan,1.8,1.5 TSi EVO 150 Match 5dr DSG,"23,124",Manual,2020,Petrol,"£20,599"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"42,628",Manual,2020,Petrol,"£9,999"
Volkswagen,Golf,1.8,1.5 TSI R-Line 5dr,"18,233",Manual,2021,Petrol,"£18,999"
KIA,Sportage,1.8,1.6 CRDi 48V ISG 2 5dr,"37,936",Manual,2021,Diesel,"£15,999"
Vauxhall,Crossland X,1.8,1.2 [83] SRi Nav 5dr [Start Stop],"43,782",Manual,2020,Petrol,"£9,999"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav Premium 5dr,"41,465",Manual,2020,Petrol,"£9,999"
Citroen,C3,1.8,1.5 BlueHDi Shine Plus 5dr,"19,514",Manual,2022,Diesel,"£13,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"43,206",Manual,2020,Petrol,"£9,999"
Nissan,Qashqai,1.8,1.5 dCi 115 Acenta Premium 5dr DCT,"32,741",Manual,2019,Diesel,"£14,999"
Audi,A4,1.8,35 TFSI Black Edition 4dr S Tronic [Comfort-PlusSound],"4,060",Manual,2023,Petrol,"£29,999"
Nissan,Qashqai,1.8,1.5 dCi 115 Acenta Premium 5dr,"25,756",Manual,2019,Diesel,"£13,599"
Audi,Q2,1.8,30 TDI Sport 5dr,"25,203",Manual,2020,Diesel,"£16,799"
Volkswagen,Tiguan,1.8,1.5 TSi EVO 150 Match 5dr,"25,231",Manual,2020,Petrol,"£18,999"
Peugeot,3008,1.8,1.5 BlueHDi Allure 5dr,"27,714",Manual,2019,Diesel,"£15,599"
Hyundai,Tucson,1.8,1.6 GDi SE Nav 5dr 2WD,"12,144",Manual,2020,Petrol,"£14,499"
BMW,1 Series,1.8,128ti 5dr Step Auto [Live Cockpit Pro-Pro pk],"8,305",Manual,2023,Petrol,"£29,799"
Renault,Kadjar,1.8,1.3 TCE Play 5dr,"16,509",Manual,2019,Petrol,"£12,999"
Audi,Q2,1.8,30 TFSI S Line 5dr,"8,622",Manual,2022,Petrol,"£22,999"
Citroen,C3 Aircross,1.8,1.5 BlueHDi Shine 5dr,"13,517",Manual,2022,Diesel,"£14,999"
Seat,Leon,1.8,1.5 TSI EVO Xcellence Lux [EZ] 5dr,"18,440",Manual,2019,Petrol,"£14,999"
Nissan,Qashqai,1.8,1.3 DiG-T 160 [157] Acenta Premium 5dr DCT,"17,899",Manual,2020,Petrol,"£15,999"
Peugeot,2008,1.8,1.2 PureTech Active 5dr,"4,134",Manual,2020,Petrol,"£14,599"
Vauxhall,Crossland X,1.8,1.2 [83] Griffin 5dr [Start Stop],"42,141",Manual,2020,Petrol,"£9,999"
Mazda,Cx-3,1.8,2.0 Sport Nav -Plus 5dr,"26,313",Manual,2019,Petrol,"£13,999"
Volkswagen,Tiguan,1.8,1.5 TSI Life 5dr,"28,834",Manual,2020,Petrol,"£21,599"
Land,Rover Range Rover Evoque,1.8,2.0 D150 R-Dynamic 5dr 2WD,"18,749",Manual,2019,Diesel,"£21,999"
Suzuki,Vitara,1.8,1.0 Boosterjet SZ-T 5dr Auto,"16,999",Manual,2019,Petrol,"£14,599"
Vauxhall,Mokka,1.8,1.2 Turbo SRi Premium 5dr Auto,"24,360",Manual,2022,Petrol,"£18,999"
BMW,3 Series,1.8,330e M Sport 4dr Step Auto,"22,650",Manual,2020,Petrol/PlugIn,"£24,599"
Ford,Kuga,1.8,1.5 EcoBoost 150 ST-Line Edition 5dr,"10,468",Manual,2021,Petrol,"£21,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Nav 5dr,"40,904",Manual,2020,Petrol,"£9,999"
Fiat,500X,1.8,1.3 Sport 5dr DCT,"25,202",Manual,2022,Petrol,"£16,999"
Ford,Kuga,1.8,1.5 EcoBoost ST-Line 5dr 2WD,"32,241",Manual,2019,Petrol,"£14,999"
Mercedes-Benz,Glc Coupe,1.8,GLC 43 4Matic 5dr TCT,"23,269",Manual,2020,Petrol,"£36,399"
Toyota,Rav4,1.8,2.5 VVT-i Hybrid Design 5dr CVT,"27,062",Manual,2020,Petrol/Electric,"£22,999"
Renault,Megane,1.8,1.3 TCE GT Line 5dr,"39,879",Manual,2018,Petrol,"£11,999"
Vauxhall,Mokka X,1.8,1.4T ecoTEC Active 5dr,"38,879",Manual,2019,Petrol,"£10,999"
Ford,Puma,1.8,1.0 EcoBoost Hybrid mHEV 155 ST-Line X 1st Ed-Plus 5dr,"12,885",Manual,2020,Petrol/Electric,"£17,599"
Ford,Fiesta,1.8,1.0 EcoBoost Active 1 5dr,"32,554",Manual,2020,Petrol,"£9,999"
Vauxhall,Crossland X,1.8,1.2T [130] Elite 5dr [Start Stop],"48,926",Manual,2020,Petrol,"£9,999"
Audi,A4,1.8,35 TFSI Black Edition 4dr S Tronic [Comfort-PlusSound],"1,010",Manual,2023,Petrol,"£29,999"
Hyundai,I10,1.8,1.0 Play 5dr,"48,596",Manual,2019,Petrol,"£7,999"
Seat,Ateca,1.8,1.5 TSI EVO SE Technology 5dr DSG,"21,165",Manual,2021,Petrol,"£18,999"
Hyundai,Ioniq,1.8,100kW Premium 38kWh 5dr Auto,"5,455",Manual,2022,Electric,"£16,999"
Vauxhall,Corsa,1.8,1.2 SE Nav 5dr,"34,499",Manual,2020,Petrol,"£9,899"
Renault,Captur,1.8,1.3 TCE 130 Iconic 5dr,"44,782",Manual,2020,Petrol,"£10,999"
Vauxhall,Grandland X,1.8,1.2 Turbo SRi Nav 5dr,"28,156",Manual,2020,Petrol,"£13,599"
Honda,Jazz,1.8,1.5 i-MMD Hybrid SR 5dr eCVT,"46,557",Manual,2021,Petrol/Electric,"£14,999"
Toyota,Yaris,1.8,1.5 Hybrid Icon 5dr CVT,"10,289",Manual,2022,Petrol/Electric,"£15,949"
Vauxhall,Corsa,1.8,1.4 SRi Nav 5dr,"26,777",Manual,2019,Petrol,"£8,999"
Honda,Cr-V,1.8,1.5 VTEC Turbo EX 5dr CVT,"17,486",Manual,2019,Petrol,"£22,999"
Nissan,Qashqai,1.8,1.3 DiG-T MH 158 Acenta Prem [Glass Rf] 5dr Xtron,"19,475",Manual,2023,Petrol,"£23,599"
Ford,Focus,1.8,1.5 EcoBlue 120 Active X Auto 5dr,"15,322",Manual,2020,Diesel,"£17,599"
